date_mesure,geocode_region,libelle_region,numerateur,denominateur,valeur
2011-01-01T00:00:00.000,01,Guadeloupe,112138.81922532404,166296.97138345637,67.43286921729224
2016-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,1099008.0158025338,1285025.4765720274,85.52422001268648
2022-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,3153726.7718607844,3727947.451739875,84.59686765136414
2016-01-01T00:00:00.000,11,Île-de-France,3402722.8013604376,5141443.753850448,66.18224304821238
2011-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,1763618.9679518123,2179280.7293863143,80.92665365092489
2011-01-01T00:00:00.000,28,Normandie,1200975.938449301,1433367.3251134406,83.78703193574282
2022-01-01T00:00:00.000,24,Centre-Val de Loire,1032321.1121413223,1193022.402812229,86.52990167727809
2022-01-01T00:00:00.000,01,Guadeloupe,127717.8440459714,177917.87937018473,71.78471579027499
2011-01-01T00:00:00.000,11,Île-de-France,3359964.4628303526,4992529.678449898,67.29983954494125
2016-01-01T00:00:00.000,02,Martinique,121829.99698627845,167004.1919771589,72.95026283109175
2016-01-01T00:00:00.000,01,Guadeloupe,119355.04619960902,171761.5180615042,69.48881655602885
2016-01-01T00:00:00.000,94,Corse,127224.63484731496,146102.98907498518,87.07873511199611
2022-01-01T00:00:00.000,53,Bretagne,1415797.6413735775,1608388.4425437027,88.02585270598323
2016-01-01T00:00:00.000,44,Grand Est,2057386.4223930207,2457717.789213842,83.71125567883543
2016-01-01T00:00:00.000,53,Bretagne,1312458.196599372,1503367.8248926578,87.30120299688355
2011-01-01T00:00:00.000,02,Martinique,116726.75649831744,162852.13967835729,71.6765261597789
2022-01-01T00:00:00.000,04,La Réunion,261790.52310393742,353421.59515088506,74.07315418634
2022-01-01T00:00:00.000,32,Hauts-de-France,2148717.287228539,2619932.1865603444,82.01423297331776
2016-01-01T00:00:00.000,24,Centre-Val de Loire,990694.5679122194,1152027.3805485952,85.99574842053241
2022-01-01T00:00:00.000,03,Guyane,49704.56807779445,86397.60570801482,57.530029530880306
2016-01-01T00:00:00.000,32,Hauts-de-France,2045764.4887867048,2519187.6721300944,81.20730787225997
2016-01-01T00:00:00.000,76,Occitanie,2268758.3847509,2662783.6930572316,85.20250408121068
2022-01-01T00:00:00.000,94,Corse,140990.67015506836,159138.46214363974,88.59622510855293
2011-01-01T00:00:00.000,52,Pays de la Loire,1343335.6797916435,1549677.4350282839,86.68485772764225
2022-01-01T00:00:00.000,75,Nouvelle-Aquitaine,2555069.851487658,2922921.2407652196,87.41494008982403
2022-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,1971330.0839424413,2417502.942706955,81.54406139977974
2016-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,2954484.8055523783,3502190.6258999747,84.3610505865354
2022-01-01T00:00:00.000,76,Occitanie,2467608.663587769,2887906.1324211373,85.44629051079984
2011-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,2785002.3616187545,3313877.61677912,84.04059182866267
2011-01-01T00:00:00.000,44,Grand Est,1977176.5789481262,2387324.5614599627,82.81976447052463
2011-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,1063815.6339641002,1255380.326174091,84.74050546946157
2022-01-01T00:00:00.000,52,Pays de la Loire,1537230.3732864098,1760962.5714432576,87.2948919082658
2011-01-01T00:00:00.000,75,Nouvelle-Aquitaine,2252879.18151434,2610999.337573552,86.28417284885184
2011-01-01T00:00:00.000,53,Bretagne,1241456.5058289433,1433633.6627506341,86.59510013506721
2022-01-01T00:00:00.000,02,Martinique,127973.33088826745,170721.70947610942,74.96019766963256
2016-01-01T00:00:00.000,28,Normandie,1245941.5416465977,1475917.9816454577,84.41807452318821
2011-01-01T00:00:00.000,94,Corse,114962.39227481386,134833.23841002682,85.26265009315739
2011-01-01T00:00:00.000,03,Guyane,38681.46149286135,67649.2801790879,57.17941327751004
2011-01-01T00:00:00.000,32,Hauts-de-France,1959113.7897355868,2439957.393164032,80.29295082055069
2016-01-01T00:00:00.000,04,La Réunion,232044.70575256922,323526.31575864647,71.72359540782354
2011-01-01T00:00:00.000,76,Occitanie,2117597.123104461,2494925.4286942636,84.87616899286326
2016-01-01T00:00:00.000,75,Nouvelle-Aquitaine,2381084.2602871996,2742949.121825928,86.80745265527048
2016-01-01T00:00:00.000,52,Pays de la Loire,1427332.930889342,1639993.905305859,87.03281922399243
2022-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,1143837.7631175197,1325189.6950212608,86.31502096755804
2016-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,1843116.4381959906,2268085.760898893,81.26308404958738
2016-01-01T00:00:00.000,03,Guyane,44769.857479297396,77802.2911314792,57.543109371471054
2022-01-01T00:00:00.000,11,Île-de-France,3489986.929116157,5388325.301724711,64.7694178374693
2011-01-01T00:00:00.000,04,La Réunion,207769.02805051548,296951.10184402805,69.96742115462666
2022-01-01T00:00:00.000,28,Normandie,1304910.4230643562,1539474.289794249,84.76337875306496
2022-01-01T00:00:00.000,44,Grand Est,2149896.1904999097,2549423.184696825,84.32872986347982
2011-01-01T00:00:00.000,24,Centre-Val de Loire,958751.9325067283,1121837.8182806582,85.46261472769056
